[DEBUG][2017-02-12 21:35:51,561][org.springframework.ui.context.support.UiApplicationContextUtils]Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@1f7316e5]
[DEBUG][2017-02-12 21:35:51,564][org.springframework.beans.factory.support.DefaultListableBeanFactory]Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@6218629c: defining beans [mvcContentNegotiationManager,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,mvcUriComponentsContributor,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter]; root of factory hierarchy
[DEBUG][2017-02-12 21:35:51,565][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'mvcContentNegotiationManager'
[DEBUG][2017-02-12 21:35:51,565][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'mvcContentNegotiationManager'
[DEBUG][2017-02-12 21:35:51,576][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'mvcContentNegotiationManager' to allow for resolving potential circular references
[DEBUG][2017-02-12 21:35:51,593][org.springframework.beans.factory.support.DefaultListableBeanFactory]Invoking afterPropertiesSet() on bean with name 'mvcContentNegotiationManager'
[DEBUG][2017-02-12 21:35:51,597][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean 'mvcContentNegotiationManager'
[DEBUG][2017-02-12 21:35:51,598][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0'
[DEBUG][2017-02-12 21:35:51,598][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0'
[DEBUG][2017-02-12 21:35:51,601][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0' to allow for resolving potential circular references
[DEBUG][2017-02-12 21:35:51,634][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'mvcContentNegotiationManager'
[DEBUG][2017-02-12 21:35:51,636][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.web.servlet.handler.MappedInterceptor#0'
[DEBUG][2017-02-12 21:35:51,636][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'org.springframework.web.servlet.handler.MappedInterceptor#0'
[DEBUG][2017-02-12 21:35:51,640][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean '(inner bean)#76688524'
[DEBUG][2017-02-12 21:35:51,640][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
[DEBUG][2017-02-12 21:35:51,640][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
[DEBUG][2017-02-12 21:35:51,642][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0' to allow for resolving potential circular references
[DEBUG][2017-02-12 21:35:51,642][org.springframework.beans.factory.support.DefaultListableBeanFactory]Invoking afterPropertiesSet() on bean with name 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
[DEBUG][2017-02-12 21:35:51,735][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean 'org.springframework.format.support.FormattingConversionServiceFactoryBean#0'
[DEBUG][2017-02-12 21:35:51,756][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean '(inner bean)#76688524'
[DEBUG][2017-02-12 21:35:51,777][org.springframework.beans.BeanUtils]No property editor [org.springframework.web.context.request.WebRequestInterceptorEditor] found for type org.springframework.web.context.request.WebRequestInterceptor according to 'Editor' suffix convention
[DEBUG][2017-02-12 21:35:51,778][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'org.springframework.web.servlet.handler.MappedInterceptor#0' to allow for resolving potential circular references
[DEBUG][2017-02-12 21:35:51,778][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean 'org.springframework.web.servlet.handler.MappedInterceptor#0'
[DEBUG][2017-02-12 21:35:51,778][org.springframework.beans.factory.support.DefaultListableBeanFactory]Invoking afterPropertiesSet() on bean with name 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0'
[DEBUG][2017-02-12 21:35:51,778][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Looking for request mappings in application context: WebApplicationContext for namespace 'spring-servlet': startup date [Sun Feb 12 21:35:51 CST 2017]; root of context hierarchy
